CO(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,AH,hola1
-200,-200,0,-200,-200,-200,-200,-200,-200,-200,
-200,-200,0,-200,-200,-200,-200,-200,-200,-200,
-200,-200,0,-200,-200,-200,-200,-200,-200,-200,
-200,34,5,1654,-200,848,-200,1366,1611,7,
-200,-200,0,-200,-200,-200,-200,-200,-200,-200,
-200,-200,0,-200,-200,-200,-200,-200,-200,-200,
-200,-200,0,-200,-200,-200,-200,-200,-200,-200,
-200,-200,0,-200,-200,-200,-200,-200,-200,-200,
-200,-200,0,-200,-200,-200,-200,-200,-200,-200,
-200,-200,0,-200,-200,-200,-200,-200,-200,-200,
-200,-200,0,-200,-200,-200,-200,-200,-200,-200,9235
3,-200,-200,0,-200,-200,-200,-200,-200,-200,9360
4,18,9,1266,477,926,188,1441,1543,4,19
4,-200,24,1,1406,502,824,176,1582,29,131
3,-200,18,1,1241,420,873,163,1463,28,
2,-200,15,8,1174,344,874,155,1481,26,8775
2,-200,14,6,1138,307,862,146,1481,25,8558
2,10,6,999,251,984,131,1361,1145,4,8959
1,-200,7,5,879,180,1114,119,1261,24,9184
1,-200,7,4,873,141,1088,98,1258,23,8982
0,-200,3,8,698,105,1254,89,1157,22,8545
0,-200,2,3,606,-200,1370,-200,1131,23,8342
0,-200,2,3,605,74,1366,68,1132,21,
0,-200,2,7,631,91,1327,65,1108,21,8736
0,-200,4,9,760,143,1224,81,1213,20,9025
3,18,2,1246,553,798,136,1574,1416,7,9708
3,-200,21,4,1335,542,724,130,1681,21,189
3,-200,21,3,1333,590,741,157,1691,25,9297
3,-200,19,9,1292,590,800,171,1626,31,
2,-200,14,8,1142,387,907,143,1490,34,9733
1,-200,12,6,1071,252,1006,116,1380,37,9385
2,13,0,1083,310,971,129,1430,986,0,9221
2,-200,16,2,1185,396,873,168,1522,35,9277
2,-200,15,0,1149,329,924,152,1473,35,9242
2,-200,16,2,1186,393,878,175,1500,38,1379
4,-200,22,7,1370,522,794,212,1689,37,2290
5,-200,32,3,1605,631,660,220,1920,35,
4,-200,22,3,1360,435,704,175,1768,31,1330
3,-200,16,6,1197,407,763,165,1688,29,1929
2,11,0,1015,255,845,136,1470,1297,3,2049
1,-200,11,3,1024,180,831,111,1452,27,
1,-200,9,3,950,186,876,114,1434,26,1289
1,-200,7,3,871,147,950,96,1393,25,1491
1,5,5,787,101,1035,75,1350,799,4,1688
0,-200,3,5,680,69,1175,58,1251,23,1624
0,-200,2,8,638,-200,1219,-200,1213,24,1631
0,-200,2,9,644,49,1162,41,1218,24,1515
0,-200,3,6,689,91,1134,55,1250,22,1383
0,-200,5,5,786,144,1018,73,1306,22,
2,-200,15,5,1163,430,762,108,1606,21,
4,-200,28,3,1511,606,587,147,1975,22,9234
3,17,8,1233,519,739,150,1594,1384,6,9416
2,12,8,1076,353,871,131,1457,1125,3,9536
2,-200,15,7,1170,429,867,144,1523,32,9959
2,-200,15,4,1161,345,866,151,1499,34,29
2,-200,15,6,1168,417,858,165,1492,33,106
1,-200,12,6,1070,276,907,135,1423,33,270
2,-200,12,2,1056,280,908,143,1406,33,410
2,-200,13,4,1098,365,882,153,1450,34,709
2,-200,14,3,1125,363,846,149,1511,33,991
3,-200,16,5,1194,393,797,164,1599,31,991
3,-200,17,4,1221,385,755,180,1599,29,1071
2,-200,12,9,1082,307,824,159,1478,27,1222
1,-200,8,2,908,194,932,119,1354,27,1525
1,-200,9,2,946,205,886,127,1391,26,
1,-200,9,3,951,223,880,131,1393,25,
1,-200,10,4,994,176,829,101,1429,24,
-200,6,2,823,-200,952,-200,1343,828,4,
-200,4,2,720,-200,1059,-200,1259,661,2,
-200,3,1,656,-200,1126,-200,1213,582,6,
-200,2,3,607,-200,1189,-200,1190,544,5,
-200,3,1,658,-200,1101,-200,1234,647,5,
-200,4,0,708,-200,1057,-200,1285,720,7,
-200,10,8,1006,-200,757,-200,1535,1207,9,
-200,13,0,1083,-200,729,-200,1624,1273,3,
-200,10,3,989,-200,775,-200,1506,1303,0,
-200,16,3,1190,-200,698,-200,1702,1479,7,
-200,12,7,1074,-200,805,-200,1532,1191,9,
-200,9,7,965,-200,899,-200,1386,932,8,
-200,9,1,942,-200,893,-200,1366,826,7,
-200,7,0,858,-200,989,-200,1270,631,0,
-200,7,0,857,-200,994,-200,1308,598,9,
-200,9,5,959,-200,872,-200,1387,796,9,
-200,9,8,971,-200,883,-200,1418,759,2,
-200,11,7,1040,-200,815,-200,1506,886,0,
-200,13,9,1112,-200,719,-200,1583,1071,3,
-200,8,7,929,-200,815,-200,1443,826,2,
-200,10,9,1012,-200,743,-200,1562,1103,1,
-200,12,3,1060,-200,716,-200,1595,1221,3,
-200,12,4,1062,-200,715,-200,1583,1449,6,
-200,12,1,1055,-200,701,-200,1602,1364,1,
-200,8,0,900,-200,811,-200,1462,1111,6,
-200,8,4,917,-200,797,-200,1495,1129,0,
-200,4,9,759,-200,943,-200,1375,799,4,
-200,4,2,719,-200,982,-200,1372,771,6,
-200,2,3,608,-200,1105,-200,1299,646,8,
-200,2,5,619,-200,1111,-200,1315,705,7,
-200,4,9,757,-200,923,-200,1423,908,6,
-200,6,6,837,-200,830,-200,1480,1047,1,
-200,6,5,833,-200,853,-200,1470,1015,8,
-200,6,4,830,-200,853,-200,1528,938,9,
-200,5,6,794,-200,908,-200,1456,849,1,
-200,6,4,832,-200,858,-200,1542,844,2,
-200,7,6,883,-200,745,-200,1660,1036,8,
-200,3,5,680,-200,996,-200,1421,729,8,
-200,3,3,672,-200,1050,-200,1438,556,4,
-200,6,6,840,-200,787,-200,1602,846,1,
-200,8,3,911,-200,796,-200,1664,942,0,
-200,8,0,900,-200,823,-200,1604,902,4,
-200,12,6,1071,-200,697,-200,1763,1178,7,
-200,17,5,1224,-200,609,-200,1886,1426,6,
-200,14,8,1143,-200,655,-200,1796,1394,2,
-200,23,3,1385,-200,555,-200,2260,1935,8,
-200,12,2,1055,-200,705,-200,1772,1360,0,
-200,7,2,866,-200,833,-200,1570,1061,0,
-200,4,6,744,-200,970,-200,1473,870,8,
-200,3,8,699,-200,1036,-200,1452,799,0,
-200,3,7,692,-200,1070,-200,1443,779,4,
-200,4,0,713,-200,1027,-200,1436,809,4,
-200,5,5,789,-200,917,-200,1473,914,5,
-200,8,3,913,-200,824,-200,1578,1033,7,
-200,28,2,1508,-200,533,-200,2257,1572,4,6963
-200,32,1,1599,-200,498,-200,2374,1704,8,7324
-200,17,7,1231,-200,626,-200,1889,1455,0,
3,-200,18,4,1251,475,609,138,1890,25,
2,-200,16,3,1190,395,655,138,1825,30,5690
3,18,2,1246,353,639,138,1907,1458,6,
3,17,9,1236,397,649,137,1869,1356,2,4111
2,-200,12,6,1069,274,737,120,1653,32,3154
2,11,3,1026,505,773,208,1623,1212,6,
2,-200,14,9,1145,275,735,128,1676,35,4452
3,-200,18,5,1254,360,693,145,1735,34,4949
-200,25,2,1433,-200,605,-200,1982,1370,5,
6,-200,35,9,1684,597,494,168,2289,29,5480
4,-200,26,7,1471,728,542,177,2064,27,
3,19,9,1295,891,593,172,1883,1592,1,5116
2,-200,14,6,1136,346,648,112,1782,25,5092
1,6,9,853,98,843,39,1499,1084,0,
0,-200,5,6,794,144,896,68,1456,24,
0,-200,3,9,708,110,1005,51,1382,24,
-200,3,2,665,-200,1061,-200,1375,788,5,
-200,3,9,703,-200,1032,-200,1403,791,8,
-200,4,6,745,-200,922,-200,1428,924,9,
-200,5,0,765,-200,916,-200,1462,941,6,
-200,9,6,964,-200,774,-200,1633,1103,3,
-200,27,8,1498,-200,519,-200,2301,1657,0,
-200,32,1,1601,-200,469,-200,2382,1743,2,
-200,20,9,1322,-200,562,-200,2004,1601,5,
-200,11,8,1042,-200,699,-200,1750,1253,0,
-200,15,8,1172,-200,644,-200,1870,1295,1,
-200,15,8,1174,-200,668,-200,1788,1192,3,
-200,14,0,1117,-200,711,-200,1690,1046,2,
-200,8,2,906,-200,832,-200,1516,803,0,
-200,13,7,1107,-200,682,-200,1791,1116,9,
-200,19,5,1282,-200,576,-200,2010,1347,7,
-200,26,7,1471,-200,518,-200,2200,1530,0,
-200,18,7,1259,-200,620,-200,1926,1240,6,
-200,13,9,1114,-200,686,-200,1807,1092,8,
-200,6,7,842,-200,873,-200,1575,740,3,
-200,4,2,719,-200,980,-200,1490,670,7,
-200,3,6,689,-200,1009,-200,1454,640,6,
-200,4,4,734,-200,967,-200,1497,918,2,
-200,4,2,722,-200,949,-200,1472,804,5,
-200,2,6,627,-200,1082,-200,1405,694,4,
-200,3,1,657,-200,1013,-200,1460,796,5,
-200,3,0,652,-200,1013,-200,1468,804,7,
-200,3,4,674,-200,970,-200,1481,829,5,
-200,4,0,712,-200,961,-200,1499,848,6,
-200,7,8,891,-200,791,-200,1654,992,1,
-200,16,1,1181,-200,644,-200,1962,1256,9,
-200,27,6,1493,-200,492,-200,2345,1598,2,
-200,17,8,1233,-200,582,-200,1968,1403,5,
-200,18,5,1255,-200,573,-200,1989,1497,7,
-200,21,6,1340,-200,529,-200,2080,1500,2,
-200,21,0,1324,-200,540,-200,2044,1549,5,
-200,17,2,1217,-200,599,-200,1975,1374,1,
-200,16,1,1184,-200,619,-200,1930,1270,2,8557
-200,18,6,1257,-200,579,-200,2031,1360,6,7334
-200,17,2,1215,-200,608,-200,1939,1296,3,7511
3,-200,17,3,1220,341,624,112,1929,26,7276
6,-200,28,6,1519,622,493,170,2265,26,7562
6,-200,31,8,1593,615,469,173,2409,25,7671
4,-200,20,1,1299,443,580,135,2016,23,7441
1,-200,9,2,946,219,767,93,1635,23,7366
1,-200,10,3,989,203,752,74,1724,22,7394
1,-200,8,6,923,165,769,69,1640,22,7262
1,-200,8,6,925,339,772,109,1649,21,7229
0,-200,4,8,753,103,934,55,1496,21,6668
0,-200,2,6,623,74,1107,49,1421,21,6802
0,-200,4,3,725,-200,962,-200,1485,20,6829
0,-200,4,5,738,72,936,42,1471,19,7083
0,-200,6,6,840,180,844,50,1562,19,7198
1,-200,10,1,982,239,740,53,1699,19,7254
4,-200,23,4,1387,664,544,86,2140,19,6330
4,-200,25,0,1430,525,512,81,2194,20,5608
3,-200,21,6,1341,543,549,96,2033,21,4444
2,-200,13,0,1083,390,695,96,1758,22,3281
1,-200,6,8,850,217,888,79,1505,18,3208
1,-200,10,0,979,248,798,95,1580,21,3010
2,-200,11,7,1039,333,771,127,1609,23,3150
1,-200,9,8,972,279,834,102,1514,22,3373
1,-200,10,2,985,339,816,107,1524,23,3689
2,-200,12,0,1048,315,772,110,1574,23,3787
3,-200,17,7,1231,365,659,124,1745,23,3742
3,-200,18,8,1263,338,640,113,1790,23,
3,-200,17,6,1227,318,658,104,1800,21,3813
2,-200,13,8,1110,302,725,117,1641,21,3925
2,9,4,955,214,845,94,1528,926,2,3974
1,-200,9,6,964,-200,858,-200,1560,21,3125
1,-200,8,5,922,-200,906,-200,1488,20,3583
1,-200,10,7,1005,363,874,109,1633,21,3694
0,-200,6,1,817,178,1022,72,1408,21,4017
0,-200,3,2,667,55,1162,40,1295,20,3346
0,-200,2,0,585,-200,1305,-200,1266,20,2941
0,-200,1,2,521,32,1451,23,1247,19,3043
0,-200,1,3,528,35,1472,24,1234,19,3112
0,-200,2,2,598,84,1336,41,1278,19,2442
2,-200,14,6,1136,456,737,99,1708,20,2259
2,-200,9,7,965,342,854,91,1544,19,1884
1,-200,6,7,845,239,979,81,1398,20,1417
1,-200,7,6,881,337,932,95,1417,22,1500
1,-200,8,6,926,351,902,113,1460,23,2017
1,-200,9,0,940,209,889,89,1441,22,2433
2,-200,10,7,1004,257,832,88,1490,23,1937
1,-200,6,3,828,169,988,81,1357,23,2300
1,-200,9,4,956,216,872,82,1476,23,2161
2,-200,12,5,1068,303,798,115,1556,23,1608
2,-200,15,2,1155,320,733,112,1660,23,1209
2,-200,14,8,1143,310,741,116,1647,23,1271
3,-200,15,9,1178,341,733,129,1605,22,1237
2,-200,10,0,977,272,872,110,1448,22,1265
1,-200,6,9,852,229,978,105,1344,22,1443
1,-200,5,5,790,168,1046,90,1317,22,1528
1,-200,6,3,826,173,1021,94,1331,22,980
1,-200,6,7,844,186,978,96,1365,22,1178
0,-200,3,7,694,112,1153,70,1240,21,
0,-200,3,2,664,79,1212,57,1215,21,899
0,-200,2,4,616,-200,1271,-200,1189,20,1144
-200,2,7,636,62,1213,45,1195,514,6,1724
0,-200,2,3,609,58,1319,42,1190,20,1970
0,-200,3,6,690,122,1183,71,1257,20,1842
1,-200,6,4,830,173,980,82,1371,20,1119
1,-200,5,0,765,176,1035,81,1317,20,501
1,-200,7,9,895,233,892,89,1413,24,272
1,-200,6,6,838,210,949,83,1324,25,406
1,-200,5,2,776,178,1024,82,1274,26,594
1,-200,6,6,838,189,957,78,1319,27,715
1,-200,7,6,881,210,926,79,1339,27,648
1,-200,5,0,765,162,1017,78,1268,27,798
1,-200,5,3,779,137,1010,73,1278,28,
1,-200,5,3,781,165,994,73,1267,29,1262
1,-200,6,5,835,204,936,100,1338,28,
2,9,2,947,266,832,122,1447,912,6,1588
2,-200,11,6,1037,299,770,132,1512,25,1915
2,9,2,946,234,827,116,1424,952,7,2626
1,-200,7,5,879,181,885,109,1404,23,2652
1,-200,9,0,938,210,816,109,1456,22,2742
2,-200,12,1,1055,304,707,116,1563,22,2797
2,-200,10,5,996,255,754,104,1534,21,2847
1,-200,7,1,862,149,850,81,1436,20,2758
1,-200,6,2,823,112,891,64,1415,19,2603
1,-200,7,8,890,-200,854,-200,1484,18,2567
0,-200,3,8,699,90,1012,54,1339,18,
0,-200,2,3,609,46,1169,35,1256,19,2757
0,-200,2,9,644,76,1144,44,1289,18,2678
1,4,8,754,139,936,62,1351,854,8,2149
1,-200,7,7,886,179,863,68,1451,18,1883
1,-200,8,8,933,224,806,85,1465,22,1696
2,-200,10,6,1002,272,755,110,1536,26,
2,-200,10,2,984,251,784,115,1485,30,
2,-200,11,0,1015,250,754,129,1508,32,1630
2,11,9,1047,178,761,106,1549,841,6,2120
2,10,8,1009,137,771,87,1545,769,8,2722
1,-200,5,1,768,119,987,70,1289,31,3074
1,-200,8,3,910,193,878,106,1385,34,3756
4,-200,20,7,1317,329,631,151,1816,33,4230
3,-200,16,8,1204,413,668,179,1655,30,4206
4,-200,20,4,1306,489,587,188,1806,27,4383
3,-200,15,3,1159,470,645,187,1704,26,4632
1,-200,8,8,931,228,766,121,1506,24,4666
1,-200,8,5,920,169,778,99,1509,23,4577
1,-200,8,7,929,189,751,100,1517,22,4469
1,-200,5,7,800,100,863,79,1407,22,4363
0,-200,4,0,713,71,978,57,1343,22,4269
0,-200,3,0,655,52,1051,43,1301,21,4243
0,-200,2,2,597,-200,1112,-200,1281,19,4139
0,-200,2,2,601,57,1122,50,1281,19,4039
0,-200,2,7,631,69,1090,47,1304,20,
0,-200,4,7,748,126,937,60,1373,19,4156
3,-200,21,7,1344,376,573,91,2026,18,4237
-200,32,2,1601,-200,455,-200,2338,1682,1,4096
5,-200,27,5,1490,737,494,159,2146,23,4017
3,-200,18,1,1243,481,599,173,1815,26,
3,-200,18,6,1258,425,597,174,1835,29,2612
3,-200,17,6,1227,330,643,165,1774,31,2673
3,16,3,1188,303,676,136,1681,1125,2,2326
2,-200,11,8,1044,283,757,125,1523,30,
2,-200,11,9,1045,264,752,122,1563,31,2585
2,-200,15,5,1163,280,708,124,1639,34,2173
5,28,8,1522,505,560,184,1990,1469,1,787
5,-200,31,1,1577,566,521,200,2080,30,377
6,-200,34,9,1663,681,473,225,2167,28,
4,-200,19,5,1282,448,633,168,1685,26,1897
2,-200,11,7,1039,231,761,118,1455,24,2755
2,9,9,972,230,747,115,1437,1118,9,2643
1,-200,7,7,885,146,835,94,1407,23,3094
0,-200,4,4,732,77,966,62,1311,23,3272
0,-200,4,1,714,82,957,68,1295,22,3581
0,-200,3,1,656,55,1042,50,1271,22,3582
0,-200,2,4,612,-200,1094,-200,1254,21,3686
0,-200,2,1,589,42,1119,36,1246,20,3679
0,-200,3,3,673,102,1033,53,1307,18,3713
1,-200,8,1,905,231,804,79,1499,18,3920
5,-200,31,4,1584,699,496,133,2288,18,4512
7,-200,41,2,1795,738,425,148,2531,19,4928
5,-200,27,3,1487,665,508,161,2115,22,4782
4,-200,24,2,1408,598,537,191,1991,25,4718
3,-200,17,0,1209,340,632,158,1792,28,5116
3,-200,17,7,1231,374,615,157,1768,30,5015
3,-200,19,3,1277,401,586,188,1846,29,4310
2,-200,12,7,1073,275,671,143,1635,29,
2,-200,14,6,1136,278,645,152,1696,30,4282
3,-200,17,8,1233,342,618,168,1759,31,4618
5,26,6,1468,479,531,205,2072,1442,2,5092
5,-200,30,3,1559,553,485,204,2158,28,5374
5,-200,28,7,1520,531,494,210,2087,26,5480
4,-200,20,0,1297,428,567,173,1899,24,5393
2,-200,11,9,1047,229,680,123,1620,23,5233
1,-200,8,1,903,145,782,92,1494,23,
1,-200,7,7,885,112,809,77,1491,22,5010
1,-200,5,9,808,99,866,74,1430,22,4894
1,5,1,768,98,916,74,1409,825,0,4794
0,-200,2,4,613,54,1133,47,1302,23,4876
0,-200,2,4,612,-200,1111,-200,1304,19,4807
0,-200,3,8,702,59,949,44,1373,18,4565
0,-200,5,0,764,162,892,69,1415,18,4610
1,-200,9,7,965,268,737,79,1606,18,4833
4,-200,25,9,1452,531,521,108,2123,18,4864
5,-200,34,3,1648,517,457,119,2400,20,4543
5,-200,29,0,1528,701,479,165,2201,23,4014
3,-200,20,0,1298,510,562,172,1888,26,3720
3,-200,18,3,1247,415,597,180,1813,29,4291
2,-200,13,4,1099,243,674,130,1631,30,3865
2,-200,14,0,1117,267,657,120,1646,27,3622
2,-200,12,1,1052,233,680,117,1609,28,
2,-200,15,3,1159,295,640,141,1701,30,5203
2,-200,16,1,1184,309,657,151,1724,32,4881
5,27,3,1486,506,523,218,2084,1537,2,6461
5,-200,26,2,1458,479,507,213,2049,28,6992
5,-200,26,7,1473,460,508,194,2065,26,6883
3,-200,18,3,1249,363,582,167,1842,24,7127
2,-200,11,9,1045,213,688,115,1638,23,7190
2,-200,11,5,1032,183,702,98,1650,22,7261
1,-200,9,6,964,163,749,93,1571,22,6673
1,-200,8,0,898,152,793,87,1539,22,6069
1,-200,6,9,854,104,818,71,1513,21,
0,-200,3,7,694,61,989,49,1385,22,5879
0,-200,2,4,615,-200,1131,-200,1336,22,5794
-200,2,2,602,54,1138,44,1337,593,1,5941
0,-200,2,5,620,84,1085,58,1339,22,5765
0,-200,6,3,828,132,892,66,1491,21,5903
3,-200,21,6,1340,422,540,112,2049,21,6199
2,-200,18,8,1264,282,582,104,1897,23,6006
2,-200,18,1,1244,293,604,103,1853,25,5855
2,-200,14,8,1141,334,631,118,1766,26,5581
2,-200,15,9,1177,324,608,129,1784,26,5642
2,-200,16,1,1184,294,610,127,1775,29,5880
2,-200,17,2,1217,273,599,130,1795,29,5903
2,-200,15,8,1175,275,618,130,1746,29,5925
2,-200,15,1,1150,282,608,118,1733,30,5949
3,-200,18,9,1264,323,586,146,1860,31,6302
4,-200,25,2,1434,442,522,190,2075,31,6256
4,-200,26,1,1458,431,501,189,2059,29,5840
4,-200,25,6,1444,402,510,173,2056,27,4959
3,-200,16,9,1206,313,600,148,1785,26,4486
2,-200,12,6,1070,228,667,116,1646,25,
2,-200,10,3,991,218,721,109,1559,24,4658
1,-200,8,9,934,179,763,94,1504,22,4828
1,6,5,835,97,859,64,1437,773,7,4673
0,-200,5,3,780,83,915,59,1419,21,4789
0,-200,4,6,744,80,908,64,1394,22,4946
0,-200,2,0,581,-200,1176,-200,1320,22,5119
0,-200,2,5,618,66,1099,52,1351,21,5452
0,-200,2,8,639,109,1093,55,1367,20,5600
1,-200,8,4,915,232,792,83,1579,20,5614
3,-200,21,1,1328,535,546,114,2017,21,5572
5,-200,34,0,1641,684,440,137,2430,21,5229
5,-200,29,4,1538,803,461,160,2214,23,5422
3,-200,20,3,1305,539,543,138,1929,25,5594
3,-200,18,4,1252,364,581,134,1866,26,5580
3,-200,22,3,1359,422,530,143,1998,26,5548
4,-200,26,9,1477,483,491,153,2114,25,5251
4,-200,24,0,1403,496,518,145,2026,25,5682
3,-200,19,3,1277,403,563,123,1892,25,3601
2,-200,14,5,1133,282,624,96,1698,24,3345
2,-200,11,1,1017,268,724,107,1632,18,
2,-200,10,4,993,306,725,119,1565,16,1988
2,-200,10,5,997,293,736,109,1552,15,213
2,5,8,805,240,895,107,1390,785,4,8880
0,-200,2,2,596,93,1227,57,1188,14,8773
0,-200,2,0,584,99,1317,60,1129,14,9326
1,-200,3,8,701,55,1128,22,1156,15,9334
1,-200,3,9,705,19,1117,2,1161,15,9017
1,-200,3,7,693,26,1096,7,1178,15,9181
0,-200,1,7,563,26,1316,8,1106,15,9295
0,-200,1,0,499,-200,1495,-200,1059,15,9308
0,-200,1,0,495,42,1531,27,1071,15,9178
0,-200,0,9,486,32,1531,14,1072,15,9056
0,-200,1,3,525,25,1434,3,1097,15,
0,-200,2,1,591,28,1287,9,1130,15,8674
0,-200,2,5,619,41,1204,14,1138,15,8104
1,4,6,744,130,1067,52,1207,594,9,7710
1,-200,4,3,729,173,1103,64,1171,18,7127
1,-200,6,5,834,168,1006,66,1243,19,
1,-200,6,0,813,51,1040,14,1183,19,6717
1,-200,6,0,812,31,1065,9,1171,19,6514
1,4,5,740,41,1161,12,1117,565,8,6853
0,-200,3,9,705,41,1203,14,1068,20,7045
1,-200,4,6,743,54,1183,21,1095,22,7384
1,-200,6,7,844,112,1048,43,1193,21,7163
1,-200,8,9,935,178,931,62,1262,20,6975
2,-200,9,8,971,218,876,68,1312,19,7366
2,-200,10,8,1007,241,848,81,1321,19,8035
1,-200,7,4,875,223,937,88,1227,18,8242
2,-200,10,3,989,279,840,99,1358,17,9136
2,-200,13,8,1111,330,746,98,1473,17,9135
2,-200,10,9,1013,330,794,97,1350,17,9176
2,-200,11,7,1040,341,739,101,1413,15,
1,-200,7,8,893,205,872,90,1287,15,9146
1,-200,7,7,885,-200,872,-200,1304,13,8941
-200,5,5,786,130,969,61,1226,831,4,
0,-200,4,5,739,102,999,55,1188,12,9319
0,-200,3,3,671,79,1128,46,1153,13,8831
1,5,4,785,148,989,56,1224,780,2,8519
1,-200,8,2,908,261,865,83,1321,14,
0,-200,3,0,651,107,1170,55,1117,19,
0,-200,3,0,655,103,1222,47,1104,21,8063
1,3,5,680,122,1147,61,1129,518,0,7981
1,3,6,688,127,1127,58,1138,518,7,7761
0,-200,4,0,711,110,1077,59,1160,22,7681
0,-200,4,2,722,98,1048,54,1169,22,7538
0,-200,3,1,657,146,1166,69,1098,22,7943
0,-200,3,5,685,119,1176,54,1121,23,8330
2,-200,10,3,987,234,823,95,1327,23,8193
2,-200,7,8,891,261,908,99,1278,21,8482
3,-200,10,7,1004,371,795,127,1384,20,8745
2,-200,7,3,870,266,911,98,1287,19,9208
1,-200,7,7,887,268,853,112,1311,18,9634
1,-200,8,6,925,294,829,115,1351,18,9881
2,-200,10,0,978,303,768,114,1398,17,
1,-200,8,5,920,241,802,103,1365,16,9799
1,-200,5,8,802,142,891,81,1265,15,9948
1,5,0,764,110,921,75,1247,900,9,9844
0,-200,2,9,648,-200,1079,-200,1178,14,9802
0,-200,3,4,674,104,1024,64,1188,14,9778
0,-200,5,6,794,179,889,71,1266,14,
1,-200,9,0,941,361,801,99,1399,14,9108
5,-200,26,9,1477,799,542,132,1973,15,8886
4,18,8,1262,614,618,135,1708,1392,9,8537
1,-200,8,2,908,275,873,94,1314,19,7961
1,-200,9,1,943,325,847,103,1351,22,7838
1,-200,9,2,947,327,862,123,1328,23,7845
1,-200,8,3,910,252,886,95,1275,21,8012
1,-200,9,1,942,226,852,90,1276,22,
1,-200,9,2,949,230,853,99,1306,23,8065
1,-200,9,6,962,244,829,107,1316,23,7773
2,11,8,1042,251,788,112,1401,927,2,7873
3,-200,17,3,1219,346,683,132,1582,25,8066
3,-200,17,8,1233,407,670,148,1539,22,8232
4,-200,20,9,1322,490,633,158,1679,20,8463
3,-200,14,9,1144,434,702,145,1517,19,8793
2,-200,11,3,1024,345,758,128,1400,18,
1,-200,8,4,914,192,837,105,1298,17,8982
1,-200,6,8,849,157,891,90,1253,16,8929
1,4,9,758,148,994,85,1189,829,1,8887
0,-200,3,5,680,105,1091,73,1137,15,8801
0,-200,2,8,637,141,1138,74,1113,15,8726
0,-200,2,1,595,-200,1191,-200,1080,14,8825
0,-200,2,2,595,107,1208,61,1089,12,8944
0,-200,3,9,704,166,1057,69,1154,11,9087
1,-200,7,3,871,241,890,82,1253,12,9224
2,-200,15,5,1164,368,707,120,1503,13,9155
4,-200,27,1,1482,498,550,135,1849,14,9008
4,-200,21,3,1332,641,601,152,1683,17,8969
3,-200,19,9,1294,667,615,177,1595,21,8451
3,-200,19,4,1280,550,618,181,1663,24,8283
3,-200,21,8,1347,483,602,176,1670,26,8174
4,-200,21,7,1344,524,605,163,1676,25,8382
3,-200,18,9,1265,481,640,174,1570,26,8681
2,-200,13,0,1084,305,748,117,1402,26,8559
3,-200,18,8,1264,396,670,145,1598,28,9302
4,-200,26,8,1474,501,554,173,1854,28,1159
6,-200,36,9,1706,702,488,204,2098,24,1130
7,-200,39,3,1756,755,466,209,2165,23,885
4,-200,23,1,1379,524,555,175,1841,20,435
2,-200,11,6,1037,247,707,129,1480,19,498
1,-200,8,3,911,196,788,111,1359,19,470
1,-200,5,7,796,135,883,85,1263,18,541
1,-200,5,9,805,146,879,86,1270,17,309
0,-200,4,1,718,106,981,71,1223,16,
0,-200,2,2,601,70,1150,60,1157,17,130
0,-200,2,0,581,-200,1169,-200,1152,15,9986
-200,2,2,596,62,1145,48,1161,698,6,
0,-200,2,0,586,60,1221,45,1134,17,86
0,-200,4,0,713,92,1029,53,1203,15,434
2,13,4,1097,277,739,94,1516,1106,9,400
4,-200,28,0,1504,600,510,122,1968,15,679
5,-200,28,6,1518,693,499,170,1973,19,810
3,-200,21,4,1334,617,573,174,1747,22,1152
3,-200,19,1,1272,569,593,191,1673,25,9658
3,-200,19,6,1286,409,593,179,1728,27,9158
3,-200,15,8,1175,335,621,148,1644,25,8917
2,-200,13,5,1099,290,698,129,1483,26,
2,-200,15,9,1176,312,677,148,1551,27,473
3,-200,19,9,1295,440,626,184,1613,28,346
4,21,6,1340,450,597,188,1677,1303,2,1019
5,-200,31,0,1573,578,491,204,1997,25,1088
6,-200,34,1,1643,615,467,201,2088,23,1148
4,-200,22,8,1373,536,541,165,1797,21,1281
1,-200,12,3,1061,238,685,133,1454,21,1201
1,-200,10,9,1012,249,699,125,1445,19,
1,-200,7,1,860,150,812,101,1298,20,
0,-200,5,7,798,108,869,79,1276,19,
-200,5,3,776,-200,879,-200,1259,913,3,
-200,2,9,644,-200,1030,-200,1173,720,5,
-200,1,9,577,-200,1138,-200,1143,640,2,
-200,2,4,611,-200,1036,-200,1189,779,6,
-200,4,0,710,-200,932,-200,1226,850,5,
-200,8,1,901,-200,778,-200,1379,1020,6,
-200,24,8,1425,-200,520,-200,1946,1605,0,
-200,36,3,1692,-200,436,-200,2197,1866,5,
-200,20,9,1321,-200,544,-200,1779,1621,6,3053
-200,22,2,1356,-200,525,-200,1795,1712,2,3477
-200,23,5,1390,-200,504,-200,1835,1770,3,4049
1,-200,10,8,1008,-200,695,-200,1489,24,4172
1,-200,11,2,1021,223,678,101,1510,24,4644
2,-200,15,1,1151,267,613,113,1638,25,5346
2,-200,17,4,1223,308,578,121,1744,26,5241
3,-200,23,4,1388,422,516,146,1978,25,5687
6,-200,35,9,1683,623,419,188,2365,25,6155
6,-200,34,0,1643,572,436,182,2259,24,6133
